,cluster_label,w,k,mean_error
0,0.0,4.0,5.0,0.22320469224752162
1,1.0,3.0,3.0,0.7822811953174179
2,2.0,4.0,3.0,0.40695331725123457
3,3.0,5.0,5.0,1.1182599270212954
4,4.0,4.0,1.0,0.45484946667220605
5,5.0,5.0,5.0,0.25220473774070507
6,6.0,3.0,1.0,0.3863620556442587
7,7.0,4.0,2.0,0.9697753547146992
8,8.0,3.0,4.0,0.5326101535048573
9,9.0,4.0,5.0,0.8458952064742824
10,10.0,3.0,2.0,0.4633189764850074
11,11.0,4.0,1.0,1.5827844733734082
12,12.0,4.0,3.0,0.8313403704508646
13,13.0,4.0,5.0,0.5007681764367746
14,14.0,3.0,5.0,0.35595282995860267
15,15.0,4.0,5.0,0.5485829315101585
16,16.0,3.0,1.0,1.5714608573766626
17,17.0,5.0,5.0,0.48623548778941883
18,18.0,3.0,2.0,0.4342700698114643
19,19.0,5.0,5.0,0.2597417745498998
20,20.0,3.0,5.0,0.3952425473928429
21,21.0,5.0,5.0,1.114799285708826
22,22.0,4.0,1.0,0.4181896085148519
23,23.0,5.0,5.0,0.49550952527324477
24,24.0,3.0,1.0,0.44924369576409995
25,25.0,5.0,3.0,0.28110589454351964
26,26.0,3.0,4.0,0.6644992787888135
27,27.0,4.0,5.0,0.5645599710406645
28,28.0,4.0,1.0,1.0047845218635236
29,29.0,3.0,5.0,0.5574027194990974
30,30.0,4.0,1.0,0.7071168906738234
31,31.0,3.0,2.0,0.6700247394062527
32,32.0,4.0,1.0,0.31569000191748553
33,33.0,5.0,5.0,0.4130007073743946
34,34.0,3.0,1.0,1.034132564728738
35,35.0,3.0,3.0,0.37850798920204
36,36.0,3.0,3.0,0.7303219343644762
37,37.0,3.0,5.0,0.5287766884326437
38,38.0,5.0,1.0,0.3950294492396974
39,39.0,3.0,3.0,0.670894865810818
40,40.0,4.0,5.0,0.7082623458641859
41,41.0,4.0,3.0,0.6203603471793808
42,42.0,5.0,5.0,0.4691332892769619
43,43.0,4.0,2.0,0.4274018734695256
44,44.0,5.0,5.0,0.7308504894015815
45,45.0,3.0,4.0,1.1589397467069893
46,46.0,4.0,3.0,0.4253827850512389
47,47.0,5.0,5.0,0.4988478252496372
48,48.0,3.0,4.0,0.7359503988053748
49,49.0,5.0,5.0,1.05207202885651
50,50.0,3.0,3.0,0.6525474221173655
51,51.0,4.0,1.0,0.6606701932915863
52,52.0,3.0,2.0,0.672684471513705
53,53.0,3.0,3.0,0.4527415950486243
54,54.0,3.0,3.0,0.6194471427663599
55,55.0,4.0,2.0,0.7131001363024803
56,56.0,4.0,5.0,0.4037375033248187
57,57.0,3.0,3.0,0.9336699031370391
58,58.0,4.0,5.0,0.8199732919044529
59,59.0,4.0,5.0,0.9021560661204189
60,60.0,3.0,2.0,0.40092465587793086
61,61.0,3.0,3.0,0.7828799279335812
62,62.0,5.0,5.0,0.6819428629405537
63,63.0,3.0,5.0,0.4076198507806544
64,64.0,3.0,5.0,0.12140100850757854
65,65.0,3.0,5.0,0.8726730650078302
66,66.0,3.0,3.0,0.90122137498935
67,67.0,3.0,4.0,0.5938909288990764
68,68.0,3.0,2.0,0.5317085032092054
69,69.0,3.0,4.0,0.7151244847604105
70,70.0,5.0,5.0,0.8244068644546705
71,71.0,5.0,5.0,0.7756051374432942
72,72.0,3.0,5.0,0.3384889205549452
73,73.0,3.0,2.0,0.30815490526901784
74,74.0,5.0,1.0,0.06563284352235282
75,75.0,5.0,5.0,0.5119883187631318
76,76.0,5.0,3.0,0.7890010782603823
77,77.0,5.0,1.0,0.5081423532221001
78,78.0,4.0,1.0,0.90743882570724
79,79.0,3.0,5.0,0.7459083425096528
80,80.0,5.0,1.0,0.9726052851326062
81,81.0,3.0,5.0,0.5705779038048813
82,82.0,5.0,2.0,1.3283577357803928
83,83.0,4.0,5.0,0.18601859283464584
84,84.0,5.0,1.0,0.4369088509485492
85,85.0,5.0,5.0,0.4111911495909218
86,86.0,3.0,5.0,0.9884263637015913
87,87.0,5.0,3.0,0.5475276401302855
88,88.0,5.0,5.0,0.4372048273320376
89,89.0,5.0,2.0,0.9259730304609427
90,90.0,4.0,3.0,0.37049849075995805
91,91.0,5.0,2.0,0.8141224159316097
92,92.0,3.0,1.0,0.1340225725572456
93,93.0,4.0,4.0,0.48920097182551414
94,94.0,5.0,5.0,0.5472072498870018
95,95.0,5.0,5.0,0.6344505621863389
96,96.0,3.0,4.0,0.4500989500437871
97,97.0,3.0,5.0,0.821424859873973
98,98.0,5.0,5.0,0.7253394830710798
