,index,k,mean_error,w
0,0,1.0,0.6301438083619106,3.0
1,1,1.0,0.5412815075894303,3.0
2,2,1.0,0.6390170726973793,3.0
3,3,1.0,0.32131858299120397,3.0
4,4,1.0,0.3485787829224982,3.0
5,5,1.0,0.6080837697392824,3.0
6,6,1.0,0.4702128281466939,3.0
7,7,1.0,0.3948289970882731,3.0
8,8,1.0,0.34738510818083634,3.0
9,9,1.0,0.4735671678893637,3.0
10,10,1.0,0.5899454873151588,3.0
11,11,1.0,0.6664875899208308,3.0
12,12,1.0,0.7296860590953518,3.0
13,13,1.0,0.40263986171134153,3.0
14,14,1.0,0.46689519207798097,3.0
15,15,1.0,0.335562373837756,3.0
16,16,1.0,0.4252259448411982,3.0
17,17,1.0,0.3768510509344542,3.0
18,18,1.0,0.6853107688430603,3.0
19,19,1.0,0.42176440790380626,3.0
20,20,1.0,0.29317471587180777,3.0
21,21,1.0,0.40772078820583973,3.0
22,22,1.0,0.41365987513130387,3.0
23,23,1.0,0.4349146567207707,3.0
24,24,1.0,0.5006531232932442,3.0
25,25,1.0,0.5407347804276296,3.0
26,26,1.0,0.5975007973134041,3.0
27,27,1.0,0.48212638184955203,3.0
28,28,1.0,0.5316325260106689,3.0
29,29,1.0,0.44239032918910004,3.0
30,30,1.0,0.5933242252478301,3.0
31,31,1.0,0.5584146602309523,3.0
32,32,1.0,0.5599719292586812,3.0
33,33,1.0,0.6208964003669796,3.0
34,34,1.0,0.957842923215915,3.0
35,35,1.0,0.4396422662769618,3.0
36,36,1.0,0.6864119706039794,3.0
37,37,1.0,0.4179951325746436,3.0
38,38,1.0,0.7898773128935231,3.0
39,39,1.0,0.22422580768761766,3.0
40,40,1.0,0.2620090389838432,3.0
41,41,1.0,0.21461843556087654,3.0
42,42,1.0,0.21177240573484848,3.0
43,43,1.0,0.2132743052176495,3.0
44,44,1.0,0.30170626255370514,3.0
45,45,1.0,0.1765733344306329,3.0
46,46,1.0,0.3587074223855696,3.0
47,47,1.0,0.32915496050237975,3.0
48,48,1.0,0.35503168145484165,3.0
49,49,1.0,0.24539917936094208,3.0
50,50,1.0,0.5124907618036889,3.0
51,51,1.0,0.22319463148056395,3.0
52,52,1.0,0.4922130804152283,3.0
53,53,1.0,0.48010572975356297,3.0
54,54,1.0,0.9230905775287159,3.0
55,55,1.0,0.24158126060004856,3.0
56,56,1.0,0.6147006859428259,3.0
57,57,1.0,0.5305293607034408,3.0
58,58,1.0,0.9787696648708717,3.0
59,59,1.0,0.7889584854985793,3.0
60,60,1.0,0.6610598221305274,3.0
61,61,1.0,0.913829502244658,3.0
62,62,1.0,0.891350711501498,3.0
63,63,1.0,0.6995119624551389,3.0
64,64,1.0,0.5370690751987506,3.0
65,65,1.0,0.5105153070744592,3.0
66,66,1.0,0.712554904199019,3.0
67,67,1.0,0.5042856736237707,3.0
68,68,1.0,0.8067327586196814,3.0
69,69,1.0,0.7541355778649037,3.0
70,70,1.0,0.8132087662198699,3.0
71,71,1.0,0.7946046754228293,3.0
72,72,1.0,0.5490756326080514,3.0
73,73,1.0,0.6069469737395197,3.0
74,74,1.0,0.44263994102332366,3.0
75,75,1.0,0.5459208425160661,3.0
76,76,1.0,0.40706295971630135,3.0
77,77,1.0,0.5294914933570245,3.0
78,78,1.0,0.8658393875263881,3.0
79,79,1.0,0.6099962762814717,3.0
80,80,1.0,0.7300394404785455,3.0
81,81,1.0,1.0465822202713109,3.0
